Date,Open,High,Low,Close,Adj Close,Volume
2018-03-06,116.540001,119.040001,115.129997,118.589996,110.107346,1003700
2018-03-07,117.430000,118.309998,115.800003,116.769997,108.417526,708600
2018-03-08,117.330002,117.330002,114.540001,115.750000,107.470482,672200
2018-03-09,116.440002,118.940002,114.400002,118.860001,110.358040,1088300
2018-03-12,118.559998,119.250000,117.209999,118.410004,109.940208,802800
2018-03-13,118.750000,120.099998,117.260002,119.000000,110.488014,942500
2018-03-14,119.160004,119.879997,116.550003,117.059998,108.686775,681800
2018-03-15,117.540001,118.330002,115.470001,117.099998,108.723923,672600
2018-03-16,116.930000,117.809998,115.760002,116.629997,108.287544,1354400
2018-03-19,116.790001,117.559998,114.699997,115.870003,107.581902,813000
2018-03-20,116.389999,116.690002,113.739998,114.250000,106.077805,636000
2018-03-21,114.660004,116.290001,114.239998,115.239998,106.996964,689600
2018-03-22,114.019997,115.139999,111.629997,111.709999,103.773499,1042400
2018-03-23,112.410004,113.260002,110.339996,110.839996,102.965302,1085900
2018-03-26,112.489998,115.070000,111.879997,114.769997,106.616096,1008800
2018-03-27,114.580002,117.449997,113.290001,115.010002,106.839035,1402700
2018-03-28,115.279999,119.419998,114.080002,115.980003,107.740135,1047500
2018-03-29,116.339996,119.220001,115.400002,118.550003,110.127548,780800
2018-04-02,118.610001,119.180000,110.510002,111.930000,103.977867,1581300
2018-04-03,112.500000,113.879997,108.949997,111.910004,103.959297,1504200
2018-04-04,110.089996,114.980003,109.820000,114.480003,106.346710,851900
2018-04-05,115.459999,116.830002,113.519997,116.389999,108.121002,873500
2018-04-06,115.629997,116.370003,110.769997,111.910004,103.959297,1291200
2018-04-09,112.940002,114.889999,110.190002,110.349998,102.510109,829500
2018-04-10,111.139999,112.680000,109.529999,112.139999,104.172943,926800
2018-04-11,111.160004,112.320000,110.150002,110.930000,103.048920,577600
2018-04-12,111.459999,112.589996,110.360001,110.570000,102.714470,850700
2018-04-13,111.139999,112.400002,105.389999,106.610001,99.035835,1530400
2018-04-16,106.930000,108.029999,105.019997,106.449997,98.887192,971500
2018-04-17,108.750000,109.930000,106.779999,108.199997,100.512863,1254300
2018-04-18,108.849998,109.720001,106.550003,107.389999,99.760399,1303600
2018-04-19,107.550003,108.209999,103.489998,105.180000,97.707428,1516400
2018-04-20,105.279999,106.449997,102.900002,103.760002,96.388306,1064500
2018-04-23,103.260002,105.599998,102.150002,105.519997,98.023262,1029500
2018-04-24,105.760002,107.830002,105.199997,106.930000,99.333092,1162900
2018-04-25,106.820000,109.309998,106.440002,107.820000,100.159859,1031300
2018-04-26,112.019997,115.120003,110.080002,113.180000,105.139038,1672500
2018-04-27,113.150002,116.610001,112.650002,116.339996,108.074547,1158600
2018-04-30,116.459999,116.680000,113.860001,114.449997,106.318810,1057400
2018-05-01,113.860001,115.699997,113.089996,115.580002,107.368546,806900
2018-05-02,115.510002,117.089996,113.800003,115.900002,107.665810,1113000
2018-05-03,115.580002,116.610001,114.540001,115.430000,107.229202,711400
2018-05-04,115.000000,117.730003,113.839996,116.669998,108.381111,860800
2018-05-07,116.989998,117.500000,115.089996,116.139999,107.888779,672500
2018-05-08,118.809998,118.970001,116.309998,116.800003,108.501854,1084900
2018-05-09,116.870003,118.139999,111.860001,117.989998,109.607330,1476400
2018-05-10,118.250000,118.589996,116.779999,118.230003,109.830276,594200
2018-05-11,118.309998,122.300003,117.589996,119.940002,111.418793,1354700
